stop_name;direction_id;ligne;stop_id;stop_id_gtfs;stop_name_gtfs;jaccard;distance
GOUNOD;0;160;36;StopPoint:59:7069322;GOUNOD;0;126.027933
BERTHELOT;0;160;37;StopPoint:59:7069324;BERTHELOT;0;16.44815259
BALZACZOLA;0;160;38;StopPoint:59:7069325;BALZAC  ZOLA;0.087129071;19.35502536
JOLIOT CURIECOURBEVOIE;0;160;39;StopPoint:59:7069327;JOLIOTCURIE  COURBEVOIE;0.008956191;38.42502388
MARCEL PAULPREFECTURE;0;160;42;StopPoint:59:7069329;MARCEL PAUL  PREFECTURE;0.034983568;3.849225463
NANTERREPREFECTURE RER;1;160;44;StopPoint:59:7069331;NANTERRE  PREFECTURE RER;0.021255083;43.14109274
MARCEL PAUL;1;160;45;StopPoint:59:7069333;MARCEL PAUL;0;21.74241423
PREFECTURE DES HAUTS DE SEINE;1;160;46;StopPoint:59:7069334;PREFECTURE DES HAUTSDESEINE;0.019845187;12.72295605
JOLIOT CURIECOURBEVOIE;1;160;47;StopPoint:59:7069328;JOLIOTCURIE  COURBEVOIE;0.008956191;59.74070053
BALZACZOLA;1;160;48;StopPoint:59:7069326;BALZAC  ZOLA;0.087129071;41.48305655
GOUNOD;1;160;49;StopPoint:59:7069323;GOUNOD;0;10.72490845
PAUL BERT;1;160;50;StopPoint:59:7069321;PAUL BERT;0;27.17671227
NANTERREVILLE RER;1;160;51;StopPoint:59:7069335;NANTERRE  VILLE RER;0.037604317;31.75359477
MAURICE THOREZ;1;160;52;StopPoint:59:7069336;MAURICE THOREZ;0;20.27872676
RUE DES ANCIENNES MAIRIES;1;160;53;StopPoint:59:7069318;RUE DES ANCIENNES MAIRIES;0;7.863859963
PLAINCHAMP;1;160;54;StopPoint:59:7069316;PLAINCHAMP;0;12.26789636
ROCHEGUDE;1;160;86;StopPoint:59:7069337;ROCHEGUDE;0;42.04984693
SADI CARNOTJOLIOT CURIE;1;160;55;StopPoint:59:7069338;SADI CARNOT  JOLIOTCURIE;0.009153;3.716203566
PLACE DE LA BOULEJOLIOT CURIE;1;160;56;StopPoint:59:5419727;PLACE DE LA BOULE  JOLIOT CURIE;0.016242379;15.11695929
PLACE DE LA BOULELENINE;1;160;57;StopPoint:59:7069339;PLACE DE LA BOULE  LENINE;0.02150376;34.57318655
PIERRE SERGENT;1;160;58;StopPoint:59:7069311;PIERRE SERGENT;0;26.05430926
DANIEL BECKER;1;160;59;StopPoint:59:7069309;DANIEL BECKER;0;61.80669281
CALVAIREMAIRIE ANNEXE;1;160;60;StopPoint:59:7069307;CALVAIRE  MAIRIE ANNEXE;0.031670336;11.57285353
PLAIDEURSVAILLANT COUTURIER;1;160;62;StopPoint:59:7069305;PLAIDEURS  VAILLANTCOUTURIER;0.007714181;21.26696538
MONT VALERIEN;1;160;63;StopPoint:59:4024430;MONT VALERIEN;0;40.91054329
CLUSERETHOPITAL FOCH;1;160;64;StopPoint:59:4024428;CLUSERET  HOPITAL FOCH;0.04967111;7.240746443
LES BONS RAISINS;1;160;65;StopPoint:59:4024426;LES BONS RAISINS;0;8.956180578
EDOUARD VAILLANT;1;160;66;StopPoint:59:4024424;EDOUARD VAILLANT;0;83.65851164
CROIX DU ROY;1;160;67;StopPoint:59:4024467;CROIX DU ROY;0;42.52263564
VAL DOR;1;160;68;StopPoint:59:4024468;VAL DOR;0;62.66300893
LA BERANGERE;1;160;69;StopPoint:59:4024420;LA BERENGERE;0.038321688;15.08622048
MARIE BONAPARTE;1;160;70;StopPoint:59:4024418;MARIE BONAPARTE;0;20.8243107
LYCEE;1;160;71;StopPoint:59:4024416;LYCEE DE SAINTCLOUD;0.276253136;15.32102916
MONTRETOUT;1;160;72;StopPoint:59:4024414;MONTRETOUT;0;10.25463931
MARCHE;1;160;73;StopPoint:59:4024412;MARCHE DE SAINTCLOUD;0.329179607;17.22967372
GENERAL LECLERC;1;160;74;StopPoint:59:7069283;GENERAL LECLERC;0;73.59665677
COLLEGE GOUNOD;1;160;75;StopPoint:59:7069281;COLLEGE GOUNOD;0;67.10097402
GARE DE SAINTCLOUD;1;160;76;StopPoint:59:7069279;GARE DE SAINTCLOUD;0;20.02371924
CHEVRILLON;1;160;77;StopPoint:59:7069277;CHEVRILLON;0;3.77294214
PARC DE SAINTCLOUD;1;160;78;StopPoint:59:7069275;PARC DE SAINTCLOUD;0;9.024015176
LA COLLINE;1;160;79;StopPoint:59:7069342;LA COLLINE;0;18.97732895
PONT DE SAINT CLOUDRIVE GAUCHE;1;160;80;StopPoint:59:7069343;PONT DE SAINTCLOUD  RIVE GAUCHE;0.005150249;26.70247293
RHIN ET DANUBEMETRO;1;160;81;StopPoint:59:4024471;RHIN ET DANUBE;0.065801267;8.020131534
RHIN ET DANUBE;1;160;82;StopPoint:59:3442588;RHIN ET DANUBEMETRO;0.065801267;70.4516219
ANDRE MORIZET;1;160;83;StopPoint:59:4024397;ANDRE MORIZET;0;12.06587457
SILLYGALLIENI;1;160;84;StopPoint:59:4024395;SILLY  GALLIENI;0.058876052;36.61420318
LYCEE EJMAREY;1;160;85;StopPoint:59:4024393;LYCEE EJ MAREY;0.016180284;57.87118341
PORTE  DE  CHAMPERRET;0;163;77;StopPoint:59:6187652;PORTE DE CHAMPERRETMETRO;0.065245362;33.31604655
LYSER ET LA SOMME;0;163;81;StopPoint:59:4022976;LYSER ET LA SOMME;0;86.76384005
VILLIERSBINEAU;0;163;101;StopPoint:59:6187694;VILLIERS  BINEAU;0.0741799;25.9546238
VICTOR HUGO;0;163;102;StopPoint:59:6187670;VICTOR HUGO;0;13.41825093
INKERMANNBINEAU;0;163;103;StopPoint:59:6187672;INKERMANN  BINEAU;0.055599718;9.90345236
CHEZY;0;163;104;StopPoint:59:6187674;CHEZY;0;15.63733497
BINEAUCHATEAU;0;163;105;StopPoint:59:6187683;BINEAU  CHATEAU;0.077041793;35.49209899
